Date,Age Group,Race/Ethnicity,Population Size,1st Dose,1st Dose Percent,Vaccine Series Completed,Vaccine Series Completed Percent,Boosted,Boosted Percent,Bivalent,Bivalent Percent
3/6/21,0-4,"White, non-Latinx",42995,0,0,0,0,0,0,0,0
3/6/21,0-4,"Asian, non-Latinx",9998,0,0,0,0,0,0,0,0
3/6/21,0-4,"Other, non-Latinx",6925,0,0,0,0,0,0,0,0
3/6/21,0-4,Unknown,,0,,0,,0,,0,
3/6/21,0-4,All,162797,0,0,0,0,0,0,0,0
3/6/21,65+,"Other, non-Latinx",3206,3144,98.1,1693,52.8,0,0,0,0
3/6/21,65+,"White, non-Latinx",135462,61619,45.5,35566,26.3,0,0,0,0
3/6/21,18-29,"Black, non-Latinx",139472,5001,3.6,2528,1.8,0,0,0,0
3/6/21,50-64,"Black, non-Latinx",145449,23516,16.2,11506,7.9,0,0,0,0
3/6/21,50-64,"White, non-Latinx",149921,29355,19.6,16919,11.3,0,0,0,0
3/6/21,30-49,All,809519,133156,16.4,74037,9.1,0,0,0,0
3/6/21,50-64,All,439599,88059,20,42321,9.6,0,0,0,0
3/6/21,18-29,"White, non-Latinx",187581,26826,14.3,17682,9.4,0,0,0,0
3/6/21,30-49,"Black, non-Latinx",197825,17954,9.1,9392,4.7,0,0,0,0
3/6/21,30-49,"Asian, non-Latinx",64910,11436,17.6,7904,12.2,0,0,0,0
3/6/21,50-64,Unknown,,3251,,1527,,0,,0,
3/6/21,30-49,"White, non-Latinx",310259,57615,18.6,36200,11.7,0,0,0,0
3/6/21,18-29,"Other, non-Latinx",11506,2127,18.5,1317,11.4,0,0,0,0
3/6/21,18-29,"Asian, non-Latinx",41068,5875,14.3,4242,10.3,0,0,0,0
3/6/21,50-64,"Other, non-Latinx",3063,1960,64,1037,33.9,0,0,0,0
3/6/21,65+,All,362629,150491,41.5,79283,21.9,0,0,0,0
3/6/21,18-29,Unknown,,3296,,2268,,0,,0,
3/6/21,18-29,All,526788,59236,11.2,35279,6.7,0,0,0,0
3/6/21,30-49,"Other, non-Latinx",10186,4013,39.4,2389,23.5,0,0,0,0
3/6/21,65+,Unknown,,3997,,1642,,0,,0,
3/6/21,50-64,"Asian, non-Latinx",27117,5178,19.1,2885,10.6,0,0,0,0
3/6/21,50-64,Latinx,114048,24799,21.7,8447,7.4,0,0,0,0
3/6/21,65+,"Black, non-Latinx",125967,43472,34.5,22438,17.8,0,0,0,0
3/6/21,65+,"Asian, non-Latinx",26955,9608,35.6,4248,15.8,0,0,0,0
3/6/21,30-49,Unknown,,6490,,3812,,0,,0,
3/6/21,30-49,Latinx,226340,35648,15.7,14340,6.3,0,0,0,0
3/6/21,65+,Latinx,71039,28651,40.3,13696,19.3,0,0,0,0
3/6/21,11-May,"Asian, non-Latinx",10651,0,0,0,0,0,0,0,0
3/6/21,11-May,Latinx,83432,0,0,0,0,0,0,0,0
3/6/21,17-Dec,"Asian, non-Latinx",8804,41,0.5,19,0.2,0,0,0,0
3/6/21,17-Dec,All,180859,378,0.2,134,0.1,0,0,0,0
3/6/21,17-Dec,"Black, non-Latinx",57964,72,0.1,27,0,0,0,0,0
3/6/21,11-May,"Other, non-Latinx",6225,0,0,0,0,0,0,0,0
3/6/21,11-May,Unknown,,0,,0,,0,,0,
3/6/21,17-Dec,"White, non-Latinx",35643,131,0.4,49,0.1,0,0,0,0
3/6/21,17-Dec,Unknown,,12,,2,,0,,0,
3/6/21,17-Dec,Latinx,76627,111,0.1,34,0,0,0,0,0
3/6/21,11-May,All,210448,0,0,0,0,0,0,0,0
3/6/21,11-May,"White, non-Latinx",43777,0,0,0,0,0,0,0,0
3/6/21,11-May,"Black, non-Latinx",66458,0,0,0,0,0,0,0,0
3/6/21,17-Dec,"Other, non-Latinx",3047,11,0.4,3,0.1,0,0,0,0
3/13/21,0-4,Latinx,54903,0,0,0,0,0,0,0,0
3/13/21,0-4,"Black, non-Latinx",47946,0,0,0,0,0,0,0,0
3/13/21,0-4,"White, non-Latinx",42995,0,0,0,0,0,0,0,0
3/13/21,0-4,"Asian, non-Latinx",9998,0,0,0,0,0,0,0,0
3/13/21,0-4,"Other, non-Latinx",6925,0,0,0,0,0,0,0,0
3/13/21,0-4,Unknown,,0,,0,,0,,0,
3/13/21,0-4,All,162797,0,0,0,0,0,0,0,0
3/13/21,18-29,Latinx,147161,19883,13.5,9179,6.2,0,0,0,0
3/13/21,65+,"Other, non-Latinx",3206,3562,99,2105,65.7,0,0,0,0
3/13/21,30-49,Unknown,,7489,,4369,,0,,0,
3/13/21,50-64,"Other, non-Latinx",3063,2417,78.9,1269,41.4,0,0,0,0
3/13/21,18-29,"White, non-Latinx",187581,31298,16.7,20626,11,0,0,0,0
3/13/21,18-29,"Asian, non-Latinx",41068,6740,16.4,4772,11.6,0,0,0,0
3/13/21,18-29,"Other, non-Latinx",11506,2483,21.6,1518,13.2,0,0,0,0
3/13/21,30-49,"Asian, non-Latinx",64910,13294,20.5,8952,13.8,0,0,0,0
3/13/21,30-49,Latinx,226340,44411,19.6,19458,8.6,0,0,0,0
3/13/21,30-49,"White, non-Latinx",310259,68402,22,43424,14,0,0,0,0
3/13/21,50-64,"Black, non-Latinx",145449,30058,20.7,14679,10.1,0,0,0,0
3/13/21,30-49,"Black, non-Latinx",197825,21937,11.1,11769,5.9,0,0,0,0
3/13/21,18-29,All,526788,70352,13.4,41750,7.9,0,0,0,0
3/13/21,65+,"Black, non-Latinx",125967,51287,40.7,28141,22.3,0,0,0,0
3/13/21,50-64,Unknown,,3899,,1883,,0,,0,
3/13/21,50-64,All,439599,111013,25.3,54971,12.5,0,0,0,0
3/13/21,18-29,Unknown,,3696,,2477,,0,,0,
3/13/21,50-64,Latinx,114048,31373,27.5,12519,11,0,0,0,0
3/13/21,65+,Unknown,,4704,,2135,,0,,0,
3/13/21,65+,Latinx,71039,32921,46.3,18462,26,0,0,0,0
3/13/21,65+,"Asian, non-Latinx",26955,11255,41.8,5876,21.8,0,0,0,0
3/13/21,65+,All,362629,172150,47.5,101634,28,0,0,0,0
3/13/21,65+,"White, non-Latinx",135462,68421,50.5,44915,33.2,0,0,0,0
3/13/21,18-29,"Black, non-Latinx",139472,6252,4.5,3178,2.3,0,0,0,0
3/13/21,50-64,"Asian, non-Latinx",27117,6371,23.5,3551,13.1,0,0,0,0
3/13/21,50-64,"White, non-Latinx",149921,36895,24.6,21070,14.1,0,0,0,0
3/13/21,30-49,All,809519,160254,19.8,90818,11.2,0,0,0,0
3/13/21,30-49,"Other, non-Latinx",10186,4721,46.3,2846,27.9,0,0,0,0
3/13/21,17-Dec,Latinx,76627,158,0.2,42,0.1,0,0,0,0
3/13/21,17-Dec,"Black, non-Latinx",57964,103,0.2,30,0.1,0,0,0,0
3/13/21,17-Dec,Unknown,,14,,4,,0,,0,
3/13/21,11-May,Latinx,83432,0,0,0,0,0,0,0,0
3/13/21,11-May,"Asian, non-Latinx",10651,0,0,0,0,0,0,0,0
3/13/21,17-Dec,"White, non-Latinx",35643,195,0.5,66,0.2,0,0,0,0
3/13/21,17-Dec,"Other, non-Latinx",3047,14,0.5,5,0.2,0,0,0,0
3/13/21,11-May,All,210448,0,0,0,0,0,0,0,0
3/13/21,17-Dec,"Asian, non-Latinx",8804,54,0.6,24,0.3,0,0,0,0
3/13/21,11-May,"Black, non-Latinx",66458,0,0,0,0,0,0,0,0
3/13/21,11-May,Unknown,,0,,0,,0,,0,
